description,injuryType,bodyPart,side
"baltimore orioles placed 3b wilson betemit on the 15-day disabled list retroactive to march 26, 2013. sprained right knee",sprain,knee,right
baltimore orioles placed c austin wynns on the 10-day injured list. left oblique strain.,injured,oblique,left
baltimore orioles placed c austin wynns on the 10-day injured list. left oblique strain.,strain,oblique,left
baltimore orioles placed c caleb joseph on the 15-day disabled list. testicular injury,injury,NA,NA
"baltimore orioles placed c matt wieters on the 15-day disabled list retroactive to july 10, 2010. strained right hamstring",strain,hamstring,right
"baltimore orioles placed c matt wieters on the 15-day disabled list retroactive to march 27, 2015. recovering from tommy john surgery",surgery,tommy john,NA
baltimore orioles placed c matt wieters on the 15-day disabled list. strained right elbow.,strain,elbow,right
"baltimore orioles placed c taylor teagarden on the 15-day disabled list retroactive to march 26, 2012. strained back",strain,back,NA
baltimore orioles placed c taylor teagarden on the 15-day disabled list. dislocated left thumb.,dislocate,thumb,left
"baltimore orioles placed c welington castillo on the 10-day disabled list retroactive to may 1, 2017. right shoulder tendinitis.",tendinitis,shoulder,right
baltimore orioles placed c welington castillo on the 10-day disabled list. groin contusion.,contusion,groin,NA
"baltimore orioles placed cf adam jones on the 15-day disabled list retroactive to september 2, 2008. sprained left ankle.",sprain,ankle,left
"baltimore orioles placed dh jim thome on the 15-day disabled list retroactive to july 29, 2012. back spasms",spasm,back,NA
"baltimore orioles placed dh jimmy paredes on the 15-day disabled list retroactive to march 25, 2016. left wrist sprain",sprain,wrist,left
baltimore orioles placed dh luke scott on the 15-day disabled list. left hamstring strain,strain,hamstring,left
"baltimore orioles placed dh mark trumbo on the 10-day disabled list retroactive to july 30, 2017. right rib cage strain.",strain,rib,right
"baltimore orioles placed dh mark trumbo on the 10-day disabled list retroactive to march 26, 2018. right quad strain.",strain,quad,right
baltimore orioles placed dh mark trumbo on the 10-day disabled list. right knee inflammation.,inflammation,knee,right
baltimore orioles placed dh mark trumbo on the 60-day injured list. recovery from right knee surgery.,injured,knee,right
baltimore orioles placed dh mark trumbo on the 60-day injured list. recovery from right knee surgery.,recovery,knee,right
baltimore orioles placed dh mark trumbo on the 60-day injured list. recovery from right knee surgery.,surgery,knee,right
"baltimore orioles placed dh vladimir guerrero on the 15-day disabled list retroactive to july 11, 2011. small fracture in his right hand.",fracture,hand,right
baltimore orioles placed lf craig gentry on the 10-day disabled list. fractured right finger.,fracture,finger,right
"baltimore orioles placed lf david lough on the 15-day disabled list retroactive to march 27, 2015. left hamstring strain.",strain,hamstring,left
baltimore orioles placed lf dwight smith jr on the 10-day injured list. concussion.,concussion,concussion,NA
baltimore orioles placed lf dwight smith jr on the 10-day injured list. concussion.,injured,concussion,NA
baltimore orioles placed lf dwight smith jr on the 10-day injured list. left calf strain.,injured,calf,left
baltimore orioles placed lf dwight smith jr on the 10-day injured list. left calf strain.,strain,calf,left
baltimore orioles placed lf dwight smith jr on the 7-day injured list. concussion.,concussion,concussion,NA
baltimore orioles placed lf dwight smith jr on the 7-day injured list. concussion.,injured,concussion,NA
"baltimore orioles placed lf endy chavez on the 15-day disabled list retroactive to june 13, 2012. strained right hamstring.",strain,hamstring,right
"baltimore orioles placed lf endy chavez on the 15-day disabled list retroactive to june 13, 2012. strained right hamstring.",strain,hamstring,right
"baltimore orioles placed lf endy chavez on the 15-day disabled list retroactive to june 13, 2012. strained right hamstring.",strain,hamstring,right
"baltimore orioles placed lf endy chavez on the 15-day disabled list retroactive to june 13, 2012. strained right hamstring.",strain,hamstring,right
"baltimore orioles placed lf endy chavez on the 15-day disabled list retroactive to june 13, 2012. strained right hamstring.",strain,hamstring,right
"baltimore orioles placed lf endy chavez on the 15-day disabled list retroactive to june 13, 2012. strained right hamstring.",strain,hamstring,right
"baltimore orioles placed lf endy chavez on the 15-day disabled list retroactive to june 13, 2012. strained right hamstring.",strain,hamstring,right
"baltimore orioles placed lf endy chavez on the 15-day disabled list retroactive to june 13, 2012. strained right hamstring.",strain,hamstring,right
"baltimore orioles placed lf endy chavez on the 15-day disabled list retroactive to may 9, 2012. intercostal strain",strain,intercostal,NA
"baltimore orioles placed lf endy chavez on the 15-day disabled list retroactive to may 9, 2012. intercostal strain",strain,intercostal,NA
"baltimore orioles placed lf endy chavez on the 15-day disabled list retroactive to may 9, 2012. intercostal strain",strain,intercostal,NA
"baltimore orioles placed lf endy chavez on the 15-day disabled list retroactive to may 9, 2012. intercostal strain",strain,intercostal,NA
baltimore orioles placed lf felix pie on the 15-day disabled list. strained upper back muscle,strain,upper back,NA
"baltimore orioles placed lf francisco peguero on the 15-day disabled list retroactive to march 21, 2014. right wrist tendinitis",tendinitis,wrist,right
baltimore orioles placed lf joey rickard on the 10-day disabled list. left middle finger sprain.,sprain,middle finger,left
baltimore orioles placed lf joey rickard on the 10-day disabled list. left middle finger sprain.,sprain,middle finger,left
baltimore orioles placed lf joey rickard on the 10-day disabled list. left middle finger sprain.,sprain,middle finger,left
baltimore orioles placed lf joey rickard on the 10-day disabled list. left middle finger sprain.,sprain,middle finger,left
baltimore orioles placed lf joey rickard on the 10-day disabled list. left middle finger sprain.,sprain,middle finger,left
baltimore orioles placed lf joey rickard on the 10-day disabled list. left middle finger sprain.,sprain,middle finger,left
baltimore orioles placed lf joey rickard on the 10-day disabled list. left middle finger sprain.,sprain,middle finger,left
baltimore orioles placed lf joey rickard on the 10-day disabled list. left middle finger sprain.,sprain,middle finger,left
"baltimore orioles placed lf luis montanez on the 15-day disabled list retroactive to may 23, 2009. torn ligaments in his right thumb.",torn,thumb,right
baltimore orioles placed lf luis montanez on the 15-day disabled list. strained left oblique,strain,oblique,left
"baltimore orioles placed lf luke scott on the 15-day disabled list retroactive to july 4, 2011. right knee contusion.",contusion,knee,right
"baltimore orioles placed lf luke scott on the 15-day disabled list retroactive to may 11, 2009. strained left shoulder.",strain,shoulder,left
baltimore orioles placed lf luke scott on the 15-day disabled list. right shoulder strain.,strain,shoulder,right
"baltimore orioles placed lf nolan reimold on the 15-day disabled list retroactive to july 14, 2013. nerve inflammation in his spine.",inflammation,spine,NA
"baltimore orioles placed lf nolan reimold on the 15-day disabled list retroactive to march 26, 2014. recovering from july 2013 back surgery",surgery,back,NA
"baltimore orioles placed lf nolan reimold on the 15-day disabled list retroactive to may 12, 2013. right hamstring strain.",strain,hamstring,right
baltimore orioles placed lf nolan reimold on the 15-day disabled list. left achilles tendinitis.,tendinitis,achilles,left
"baltimore orioles placed lf steve pearce on the 15-day disabled list retroactive to august 28, 2013. left wrist tendonitis",tendonitis,ear,left
"baltimore orioles placed lf steve pearce on the 15-day disabled list retroactive to august 28, 2013. left wrist tendonitis",tendonitis,wrist,left
"baltimore orioles placed lf steve pearce on the 15-day disabled list retroactive to june 20, 2013. left wrist tendinitis.",tendinitis,ear,left
"baltimore orioles placed lf steve pearce on the 15-day disabled list retroactive to june 20, 2013. left wrist tendinitis.",tendinitis,wrist,left
baltimore orioles placed lf steve pearce on the 15-day disabled list. left oblique strain,strain,ear,left
baltimore orioles placed lf steve pearce on the 15-day disabled list. left oblique strain,strain,oblique,left
baltimore orioles placed lf steve pearce on the 60-day disabled list. right flexor mass strain.,strain,ear,right
baltimore orioles placed lf steve pearce on the 60-day disabled list. right flexor mass strain.,strain,flexor,right
"baltimore orioles placed lhp brian duensing on the 15-day disabled list retroactive to june 20, 2016. left elbow inflammation.",inflammation,elbow,left
"baltimore orioles placed lhp brian matusz on the 15-day disabled list retroactive to march 25, 2016. left intercostal strain",strain,intercostal,left
"baltimore orioles placed lhp brian matusz on the 15-day disabled list retroactive to march 30, 2011. strained left intercostal muscle.",strain,intercostal,left
baltimore orioles placed lhp chris lee on the 60-day disabled list. left shoulder strain.,strain,shoulder,left
baltimore orioles placed lhp johan santana on the 15-day disabled list. recovering from april 2013 left shoulder surgery,surgery,shoulder,left
"baltimore orioles placed lhp john means on the 10-day injured list retroactive to july 25, 2019. left bicep strain.",injured,bicep,left
"baltimore orioles placed lhp john means on the 10-day injured list retroactive to july 25, 2019. left bicep strain.",strain,bicep,left
"baltimore orioles placed lhp john means on the 10-day injured list retroactive to june 17, 2019. left shoulder strain.",injured,shoulder,left
"baltimore orioles placed lhp john means on the 10-day injured list retroactive to june 17, 2019. left shoulder strain.",strain,shoulder,left
baltimore orioles placed lhp josh rogers on the 10-day injured list. left elbow sprain.,injured,elbow,left
baltimore orioles placed lhp josh rogers on the 10-day injured list. left elbow sprain.,sprain,elbow,left
"baltimore orioles placed lhp michael gonzalez on the 15-day disabled list retroactive to april 10, 2010. strained left shoulder.",strain,shoulder,left
baltimore orioles placed lhp randy wolf on the 60-day disabled list. torn ulnar collateral ligament in left elbow.,torn,elbow,left
baltimore orioles placed lhp randy wolf on the 60-day disabled list. torn ulnar collateral ligament in left elbow.,torn,lat,left
baltimore orioles placed lhp randy wolf on the 60-day disabled list. torn ulnar collateral ligament in left elbow.,torn,ulna,left
"baltimore orioles placed lhp rich hill on the 15-day disabled list retroactive to july 28, 2009. left shoulder inflammation.",inflammation,shoulder,left
"baltimore orioles placed lhp richard bleier on the 10-day disabled list retroactive to june 14, 2018. left shoulder latissimus strain.",strain,lat,left
"baltimore orioles placed lhp richard bleier on the 10-day disabled list retroactive to june 14, 2018. left shoulder latissimus strain.",strain,shoulder,left
"baltimore orioles placed lhp richard bleier on the 10-day injured list retroactive to april 10, 2019. left shoulder tendinitis.",injured,shoulder,left
"baltimore orioles placed lhp richard bleier on the 10-day injured list retroactive to april 10, 2019. left shoulder tendinitis.",tendinitis,shoulder,left
"baltimore orioles placed lhp t.j. mcfarland on the 15-day disabled list retroactive to june 29, 2016. left knee inflammation.",inflammation,knee,left
"baltimore orioles placed lhp troy patton on the 15-day disabled list retroactive to august 13, 2012. sprained right ankle.",sprain,ankle,right
"baltimore orioles placed lhp tsuyoshi wada on the 15-day disabled list retroactive to march 22, 2013. left elbow surgery.",surgery,elbow,left
"baltimore orioles placed lhp tsuyoshi wada on the 15-day disabled list retroactive to march 28, 2012. left elbow impingement",impingement,elbow,left
"baltimore orioles placed lhp wade miley on the 10-day disabled list retroactive to march 30, 2017. upper respiratory infection.",infection,respiratory,NA
"baltimore orioles placed lhp wade miley on the 10-day disabled list retroactive to march 30, 2017. upper respiratory infection.",respiratory,respiratory,NA
"baltimore orioles placed lhp wei-yin chen on the 15-day disabled list retroactive to may 13, 2013. strained right oblique.",strain,oblique,right
baltimore orioles placed lhp wesley wright on the 15-day disabled list. left trapezius strain,strain,trapezius,left
baltimore orioles placed lhp wesley wright on the 15-day disabled list. left trapezius strain,strain,trapezius,right
"baltimore orioles placed of anthony santander on the 10-day disabled list retroactive to march 30, 2017. strained right forearm.",strain,arm,right
"baltimore orioles placed of anthony santander on the 10-day disabled list retroactive to march 30, 2017. strained right forearm.",strain,ear,right
"baltimore orioles placed of anthony santander on the 10-day disabled list retroactive to march 30, 2017. strained right forearm.",strain,forearm,right
baltimore orioles placed rf austin hays on the 60-day disabled list. right ankle surgery.,surgery,ankle,right
baltimore orioles placed rf colby rasmus on the 10-day disabled list. left hip flexor strain.,strain,flexor,left
baltimore orioles placed rf colby rasmus on the 10-day disabled list. left hip flexor strain.,strain,hip,left
"baltimore orioles placed rf craig gentry on the 10-day disabled list retroactive to june 24, 2018. left rib fracture.",fracture,rib,left
baltimore orioles placed rf dj stewart on the 7-day injured list. concussion.,concussion,concussion,NA
baltimore orioles placed rf dj stewart on the 7-day injured list. concussion.,injured,concussion,NA
"baltimore orioles placed rf joey rickard on the 15-day disabled list retroactive to july 21, 2016. right thumb ligament injury.",injury,thumb,right
"baltimore orioles placed rf joey rickard on the 15-day disabled list retroactive to july 21, 2016. right thumb ligament injury.",injury,thumb,right
"baltimore orioles placed rf joey rickard on the 15-day disabled list retroactive to july 21, 2016. right thumb ligament injury.",injury,thumb,right
"baltimore orioles placed rf joey rickard on the 15-day disabled list retroactive to july 21, 2016. right thumb ligament injury.",injury,thumb,right
"baltimore orioles placed rf joey rickard on the 15-day disabled list retroactive to july 21, 2016. right thumb ligament injury.",injury,thumb,right
"baltimore orioles placed rf joey rickard on the 15-day disabled list retroactive to july 21, 2016. right thumb ligament injury.",injury,thumb,right
"baltimore orioles placed rf joey rickard on the 15-day disabled list retroactive to july 21, 2016. right thumb ligament injury.",injury,thumb,right
"baltimore orioles placed rf joey rickard on the 15-day disabled list retroactive to july 21, 2016. right thumb ligament injury.",injury,thumb,right
"baltimore orioles placed rhp alex cobb on the 10-day injured list retroactive to april 27, 2019. lumbar strain.",injured,lumbar,NA
"baltimore orioles placed rhp alex cobb on the 10-day injured list retroactive to april 27, 2019. lumbar strain.",strain,lumbar,NA
"baltimore orioles placed rhp alex cobb on the 10-day injured list retroactive to april 6, 2019. lumbar strain.",injured,lumbar,NA
"baltimore orioles placed rhp alex cobb on the 10-day injured list retroactive to april 6, 2019. lumbar strain.",strain,lumbar,NA
baltimore orioles placed rhp alex cobb on the 10-day injured list. right groin strain.,injured,groin,right
baltimore orioles placed rhp alex cobb on the 10-day injured list. right groin strain.,strain,groin,right
"baltimore orioles placed rhp alfredo simon on the 15-day disabled list retroactive to june 13, 2011. right hamstring strain.",strain,hamstring,right
"baltimore orioles placed rhp alfredo simon on the 15-day disabled list retroactive to may 24, 2010. left hamstring strain.",strain,hamstring,left
baltimore orioles placed rhp alfredo simon on the 15-day disabled list. right elbow strain,strain,elbow,right
"baltimore orioles placed rhp andrew cashner on the 10-day disabled list retroactive to june 9, 2018. lower back strain.",strain,lower back,NA
baltimore orioles placed rhp andrew cashner on the 10-day disabled list. neck strain.,strain,neck,NA
baltimore orioles placed rhp brad bergesen on the 15-day disabled list. left leg contusion,contusion,leg,left
"baltimore orioles placed rhp bud norris on the 15-day disabled list retroactive to june 22, 2014. right groin strain",strain,groin,right
"baltimore orioles placed rhp bud norris on the 15-day disabled list retroactive to june 22, 2014. right groin strain",strain,groin,right
"baltimore orioles placed rhp bud norris on the 15-day disabled list retroactive to june 22, 2014. right groin strain",strain,groin,right
"baltimore orioles placed rhp bud norris on the 15-day disabled list retroactive to june 22, 2014. right groin strain",strain,groin,right
"baltimore orioles placed rhp bud norris on the 15-day disabled list retroactive to june 22, 2014. right groin strain",strain,groin,right
"baltimore orioles placed rhp bud norris on the 15-day disabled list retroactive to june 22, 2014. right groin strain",strain,groin,right
"baltimore orioles placed rhp bud norris on the 15-day disabled list retroactive to june 22, 2014. right groin strain",strain,groin,right
"baltimore orioles placed rhp bud norris on the 15-day disabled list retroactive to june 22, 2014. right groin strain",strain,groin,right
"baltimore orioles placed rhp bud norris on the 15-day disabled list retroactive to may 11, 2015. bronchitis",bronchitis,NA,NA
"baltimore orioles placed rhp bud norris on the 15-day disabled list retroactive to may 11, 2015. bronchitis",bronchitis,NA,NA
baltimore orioles placed rhp chaz roe on the 15-day disabled list. right shoulder tendinitis.,tendinitis,shoulder,right
baltimore orioles placed rhp chris ray on the 15-day disabled list. strained right shoulder.,strain,shoulder,right
"baltimore orioles placed rhp chris tillman on the 10-day disabled list retroactive to march 30, 2017. right shoulder bursitis.",bursitis,shoulder,right
baltimore orioles placed rhp chris tillman on the 10-day disabled list. lower back strain.,strain,lower back,NA
"baltimore orioles placed rhp chris tillman on the 15-day disabled list retroactive to august 21, 2016. right shoulder bursitis.",bursitis,shoulder,right
"baltimore orioles placed rhp chris tillman on the 15-day disabled list retroactive to march 22, 2013. left abdominal strain.",strain, abdominal,left
"baltimore orioles placed rhp darren o'day on the 10-day disabled list retroactive to june 7, 2017. right shoulder strain, retroactive to 6/7/17",strain,shoulder,right
"baltimore orioles placed rhp darren o'day on the 10-day disabled list retroactive to may 6, 2018. hyperextended right elbow.",hyperextended,elbow,right
baltimore orioles placed rhp darren o'day on the 10-day disabled list. left hamstring strain.,strain,hamstring,left
"baltimore orioles placed rhp darren o'day on the 15-day disabled list retroactive to august 12, 2016. right shoulder rotator cuff strain.",strain, rotator cuff,right
"baltimore orioles placed rhp darren o'day on the 15-day disabled list retroactive to august 12, 2016. right shoulder rotator cuff strain.",strain,shoulder,right
baltimore orioles placed rhp darren o'day on the 15-day disabled list. right hamstring strain,strain,hamstring,right
baltimore orioles placed rhp david hernandez on the 15-day disabled list. sprained left ankle.,sprain,ankle,left
baltimore orioles placed rhp dennis sarfate on the 15-day disabled list. right middle finger injury,injury,middle finger,right
baltimore orioles placed rhp dylan bundy on the 10-day disabled list. left ankle sprain.,sprain,ankle,left
baltimore orioles placed rhp dylan bundy on the 10-day injured list. right knee tendinitis.,injured,knee,right
baltimore orioles placed rhp dylan bundy on the 10-day injured list. right knee tendinitis.,tendinitis,knee,right
baltimore orioles placed rhp dylan bundy on the 60-day disabled list. right shoulder strain,strain,shoulder,right
baltimore orioles placed rhp edgmer escalona on the 60-day disabled list. right shoulder impingement,impingement,shoulder,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress, shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress, shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress,shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress,shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress, shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress, shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress,shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress,shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress reaction, shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress reaction, shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress reaction,shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress reaction,shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress reaction, shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress reaction, shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress reaction,shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress reaction,shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress, shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress, shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress,shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress,shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress, shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress, shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress,shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress,shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress reaction, shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress reaction, shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress reaction,shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress reaction,shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress reaction, shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress reaction, shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress reaction,shin,right
"baltimore orioles placed rhp gabriel ynoa on the 10-day disabled list retroactive to march 26, 2018. right shin stress reaction.",stress reaction,shin,right
"baltimore orioles placed rhp jake arrieta on the 15-day disabled list retroactive to august 1, 2011. bone spur in his right elbow.",bone spur,elbow,right
"baltimore orioles placed rhp jason berken on the 15-day disabled list retroactive to august 13, 2010. right shoulder inflammation",inflammation,shoulder,right
"baltimore orioles placed rhp jason berken on the 15-day disabled list retroactive to august 18, 2011. right forearm strain",strain,arm,right
"baltimore orioles placed rhp jason berken on the 15-day disabled list retroactive to august 18, 2011. right forearm strain",strain,ear,right
"baltimore orioles placed rhp jason berken on the 15-day disabled list retroactive to august 18, 2011. right forearm strain",strain,forearm,right
"baltimore orioles placed rhp jason garcia on the 15-day disabled list retroactive to may 11, 2015. right shoulder tendinitis",tendinitis,shoulder,right
"baltimore orioles placed rhp jason hammel on the 15-day disabled list retroactive to july 14, 2012. right knee injury.",injury,knee,right
"baltimore orioles placed rhp jason hammel on the 15-day disabled list retroactive to july 29, 2013. right flexor mass strain.",strain,flexor,right
baltimore orioles placed rhp jhan marinez on the 10-day disabled list. right hamstring strain.,strain,hamstring,right
baltimore orioles placed rhp josh lucas on the 10-day injured list. right shoulder strain.,injured,shoulder,right
baltimore orioles placed rhp josh lucas on the 10-day injured list. right shoulder strain.,strain,shoulder,right
"baltimore orioles placed rhp justin duchscherer on the 15-day disabled list retroactive to march 22, 2011. strained left hip.",strain,hip,left
"baltimore orioles placed rhp kam mickolio on the 15-day disabled list retroactive to september 7, 2009. right shoulder inflammation.",inflammation,shoulder,right
"baltimore orioles placed rhp kevin gausman on the 15-day disabled list retroactive to march 25, 2016. right shoulder strain",strain,shoulder,right
"baltimore orioles placed rhp kevin gausman on the 15-day disabled list retroactive to march 25, 2016. right shoulder strain",strain,shoulder,right
"baltimore orioles placed rhp kevin gausman on the 15-day disabled list retroactive to march 25, 2016. right shoulder strain",strain,shoulder,right
"baltimore orioles placed rhp kevin gausman on the 15-day disabled list retroactive to march 25, 2016. right shoulder strain",strain,shoulder,right
"baltimore orioles placed rhp kevin gausman on the 15-day disabled list retroactive to march 25, 2016. right shoulder strain",strain,shoulder,right
"baltimore orioles placed rhp kevin gausman on the 15-day disabled list retroactive to march 25, 2016. right shoulder strain",strain,shoulder,right
"baltimore orioles placed rhp kevin gausman on the 15-day disabled list retroactive to march 25, 2016. right shoulder strain",strain,shoulder,right
"baltimore orioles placed rhp kevin gausman on the 15-day disabled list retroactive to march 25, 2016. right shoulder strain",strain,shoulder,right
"baltimore orioles placed rhp kevin gausman on the 15-day disabled list retroactive to may 7, 2015. right shoulder tendinitis.",tendinitis,shoulder,right
"baltimore orioles placed rhp kevin gausman on the 15-day disabled list retroactive to may 7, 2015. right shoulder tendinitis.",tendinitis,shoulder,right
"baltimore orioles placed rhp kevin gausman on the 15-day disabled list retroactive to may 7, 2015. right shoulder tendinitis.",tendinitis,shoulder,right
"baltimore orioles placed rhp kevin gausman on the 15-day disabled list retroactive to may 7, 2015. right shoulder tendinitis.",tendinitis,shoulder,right
"baltimore orioles placed rhp kevin gausman on the 15-day disabled list retroactive to may 7, 2015. right shoulder tendinitis.",tendinitis,shoulder,right
"baltimore orioles placed rhp kevin gausman on the 15-day disabled list retroactive to may 7, 2015. right shoulder tendinitis.",tendinitis,shoulder,right
"baltimore orioles placed rhp kevin gausman on the 15-day disabled list retroactive to may 7, 2015. right shoulder tendinitis.",tendinitis,shoulder,right
"baltimore orioles placed rhp kevin gausman on the 15-day disabled list retroactive to may 7, 2015. right shoulder tendinitis.",tendinitis,shoulder,right
baltimore orioles placed rhp kevin millwood on the 15-day disabled list. strained right forearm.,strain,arm,right
baltimore orioles placed rhp kevin millwood on the 15-day disabled list. strained right forearm.,strain,ear,right
baltimore orioles placed rhp kevin millwood on the 15-day disabled list. strained right forearm.,strain,forearm,right
"baltimore orioles placed rhp koji uehara on the 15-day disabled list retroactive to june 24, 2009. right elbow tendinitis.",tendinitis,elbow,right
"baltimore orioles placed rhp koji uehara on the 15-day disabled list retroactive to march 26, 2010. left hamstring strain.",strain,hamstring,left
"baltimore orioles placed rhp koji uehara on the 15-day disabled list retroactive to may 20, 2010. right elbow strain.",strain,elbow,right
"baltimore orioles placed rhp koji uehara on the 15-day disabled list retroactive to may 24, 2009. strained left hamstring.",strain,hamstring,left
baltimore orioles placed rhp matt lindstrom on the 15-day disabled list. right middle finger injury.,injury,middle finger,right
"baltimore orioles placed rhp miguel gonzalez on the 15-day disabled list retroactive to august 31, 2015. right shoulder tendinitis",tendinitis,shoulder,right
"baltimore orioles placed rhp miguel gonzalez on the 15-day disabled list retroactive to june 10, 2015. right groin strain",strain,groin,right
"baltimore orioles placed rhp miguel gonzalez on the 15-day disabled list retroactive to may 31, 2014. strained right oblique.",strain,oblique,right
"baltimore orioles placed rhp miguel gonzalez on the 15-day disabled list retroactive to may 4, 2013. right thumb blister.",blister,thumb,right
baltimore orioles placed rhp mike wright on the 15-day disabled list. left calf strain,strain,calf,left
baltimore orioles placed rhp mike wright on the 15-day disabled list. left calf strain,strain,calf,right
baltimore orioles placed rhp mike wright on the 15-day disabled list. left calf strain,strain,calf,left
baltimore orioles placed rhp mike wright on the 15-day disabled list. left calf strain,strain,calf,right
baltimore orioles placed rhp mike wright on the 15-day disabled list. left calf strain,strain,calf,left
baltimore orioles placed rhp mike wright on the 15-day disabled list. left calf strain,strain,calf,right
baltimore orioles placed rhp mike wright on the 15-day disabled list. left calf strain,strain,calf,left
baltimore orioles placed rhp mike wright on the 15-day disabled list. left calf strain,strain,calf,right
baltimore orioles placed rhp mike wright on the 15-day disabled list. left calf strain,strain,calf,left
baltimore orioles placed rhp mike wright on the 15-day disabled list. left calf strain,strain,calf,right
baltimore orioles placed rhp mike wright on the 15-day disabled list. left calf strain,strain,calf,left
baltimore orioles placed rhp mike wright on the 15-day disabled list. left calf strain,strain,calf,right
baltimore orioles placed rhp mike wright on the 15-day disabled list. left calf strain,strain,calf,left
baltimore orioles placed rhp mike wright on the 15-day disabled list. left calf strain,strain,calf,right
baltimore orioles placed rhp mike wright on the 15-day disabled list. left calf strain,strain,calf,left
baltimore orioles placed rhp mike wright on the 15-day disabled list. left calf strain,strain,calf,right
baltimore orioles placed rhp nate karns on the 10-day injured list. right forearm strain.,injured,arm,right
baltimore orioles placed rhp nate karns on the 10-day injured list. right forearm strain.,injured,arm,right
baltimore orioles placed rhp nate karns on the 10-day injured list. right forearm strain.,injured,ear,right
baltimore orioles placed rhp nate karns on the 10-day injured list. right forearm strain.,injured,ear,right
baltimore orioles placed rhp nate karns on the 10-day injured list. right forearm strain.,injured,forearm,right
baltimore orioles placed rhp nate karns on the 10-day injured list. right forearm strain.,injured,forearm,right
baltimore orioles placed rhp nate karns on the 10-day injured list. right forearm strain.,injured,arm,right
baltimore orioles placed rhp nate karns on the 10-day injured list. right forearm strain.,injured,arm,right
baltimore orioles placed rhp nate karns on the 10-day injured list. right forearm strain.,injured,ear,right
baltimore orioles placed rhp nate karns on the 10-day injured list. right forearm strain.,injured,ear,right
